Date and Time of initial call,Borough,Property,Location,Species Description,Species Status,Animal Condition,Animal Class,Final Ranger Action,# of Animals,Year,full_address
2022-06-14 18:30:00,Manhattan,Central Park,Cedar Hill,house sparrow,Invasive,Unhealthy,Birds,Relocated/Condition Corrected,1.0,2022,"Central Park, Manhattan, NY"
2022-06-15 07:30:00,Brooklyn,Prospect Park,Prospect Park Park Circle,raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2022,"Prospect Park, Brooklyn, NY"
2022-06-15 07:30:00,Brooklyn,Prospect Park,Prospect Park Park Circle,wood duck,Native,Healthy,Birds,ACC,2.0,2022,"Prospect Park, Brooklyn, NY"
2022-06-15 14:00:00,Bronx,Crotona Park,Marmion Ave and Crotona Park East,eastern gray squirrel,Native,DOA,Small Mammals-non RVS,Relocated/Condition Corrected,1.0,2022,"Crotona Park, Bronx, NY"
2022-06-15 14:30:00,Manhattan,Riverside Park,Near Riverside park and 116th street,red-tailed hawk,Native,DOA,Raptors,Relocated/Condition Corrected,1.0,2022,"Riverside Park, Manhattan, NY"
2022-06-15 18:00:00,Manhattan,Inwood Hill Park,Gaelic Field,bird (unknown),Native,Unhealthy,Birds,Unfounded,0.0,2022,"Inwood Hill Park, Manhattan, NY"
2022-06-16 09:30:00,Manhattan,Inwood Hill Park,218th Street Boathouse,baltimore oriole,Native,DOA,Birds,Relocated/Condition Corrected,1.0,2022,"Inwood Hill Park, Manhattan, NY"
2022-06-16 13:00:00,Staten Island,Clove Lakes Park,Behind the stonehenge entrance in the body of waters near the waterfalls,night heron (unknown),Native,Injured,Birds,Unfounded,0.0,2022,"Clove Lakes Park, Staten Island, NY"
2022-06-16 13:15:00,Bronx,Bronx Park,River Garden adjacent to Bronx Park,common snapping turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Monitored Animal,1.0,2022,"Bronx Park, Bronx, NY"
2022-06-16 14:20:00,Manhattan,35th Street,Between 8th and 9th Avenues,herring gull,Native,Unhealthy,Birds,Rehabilitator,1.0,2022,"35th Street, Manhattan, NY"
2021-01-08 15:45:00,Staten Island,Clove Lakes Park,Clove Rd and Forest Ave,wild turkey,Native,Unhealthy,Birds,Unfounded,0.0,2021,"Clove Lakes Park, Staten Island, NY"
2021-01-08 10:00:00,Queens,Alley Pond Park,"Alley Pond Environmental Center, 76th Ave entrance",virginia opossum,Native,Injured,Small Mammals-non RVS,ACC,1.0,2021,"Alley Pond Park, Queens, NY"
2021-01-08 09:25:00,Queens,Rockaway Beach and Boardwalk,Beach 9th St and Seagirt Ave,mute swan,Invasive,Unhealthy,Birds,ACC,1.0,2021,"Rockaway Beach and Boardwalk, Queens, NY"
2021-01-06 15:30:00,Staten Island,King Fisher Park,pond,canada goose,Native,Injured,Birds,Unfounded,0.0,2021,"King Fisher Park, Staten Island, NY"
2021-01-08 09:30:00,Bronx,Van Cortlandt Park,Arthur Ross Nursery,eastern coyote,Native,,Coyotes,Unfounded,0.0,2021,"Van Cortlandt Park, Bronx, NY"
2021-01-07 15:45:00,Manhattan,Central Park,Ramble above the Stone Arch,eastern gray squirrel,Native,DOA,Small Mammals-non RVS,Relocated/Condition Corrected,1.0,2021,"Central Park, Manhattan, NY"
2021-01-07 13:30:00,Manhattan,Riverside Park,114th Street retaining wall,raccoon,Native,,Small Mammals-RVS,Unfounded,0.0,2021,"Riverside Park, Manhattan, NY"
2021-01-07 10:00:00,Manhattan,Central Park,North Meadow Ballfield 7,red-tailed hawk,Native,Healthy,Raptors,Advised/Educated others,1.0,2021,"Central Park, Manhattan, NY"
2021-01-06 15:00:00,Staten Island,King Fisher Park,Pond,canada goose,Native,Injured,Birds,Monitored Animal,1.0,2021,"King Fisher Park, Staten Island, NY"
2020-12-30 14:00:00,Staten Island,Historic Richmondtown,Creek,canada goose,Native,Injured,Birds,Monitored Animal,1.0,2020,"Historic Richmondtown, Staten Island, NY"
2021-01-06 11:30:00,Bronx,Van Cortlandt Park,On the trail near the nursery,virginia opossum,Native,Unhealthy,Small Mammals-non RVS,ACC,1.0,2021,"Van Cortlandt Park, Bronx, NY"
2021-01-04 14:15:00,Bronx,Crotona Park,Outside PEP Command Trailer,chicken,Domestic,Injured,Domestic;#Birds,ACC,1.0,2021,"Crotona Park, Bronx, NY"
2021-01-02 14:00:00,Staten Island,Willowbrook Park,Willowbrook Lake,canada goose,Native,Injured,Birds,Unfounded,0.0,2021,"Willowbrook Park, Staten Island, NY"
2021-01-02 11:30:00,Bronx,Van Cortlandt Park,"261st and Broadway 40.9096402,-73.8963825",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2021,"Van Cortlandt Park, Bronx, NY"
2021-01-02 10:00:00,Brooklyn,Prospect Park,"Coney Island Ave and Parkside 40.651493, -73.971583",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2021,"Prospect Park, Brooklyn, NY"
2021-01-02 11:00:00,Manhattan,Inwood Hill Park,Payson Office,wren (unknown),Native,Healthy,Birds,Relocated/Condition Corrected,1.0,2021,"Inwood Hill Park, Manhattan, NY"
2021-01-01 13:30:00,Manhattan,Highbridge Park,Outside the PEP Trailer,cooper's hawk,Native,Injured,Raptors,Rehabilitator,1.0,2021,"Highbridge Park, Manhattan, NY"
2020-12-31 12:00:00,Bronx,Pelham Bay Park,Orchard Beach traffic cricle,canada goose,Native,Injured,Birds,Monitored Animal,1.0,2020,"Pelham Bay Park, Bronx, NY"
2020-12-30 22:00:00,Brooklyn,Sunset Park,7th Ave and 44th St,chicken,Domestic,Healthy,Domestic;#Birds,ACC,4.0,2020,"Sunset Park, Brooklyn, NY"
2020-12-30 15:34:00,Manhattan,East River Esplanade,"South East Corner of the Brian Watkins Tennis Center (40.714909, -73.975205)",red-tailed hawk,Native,Injured,Raptors,Rehabilitator,1.0,2020,"East River Esplanade, Manhattan, NY"
2020-12-30 13:45:00,Staten Island,Historic Richmondtown,off Richmond Road,canada goose,Native,Injured,Birds,Monitored Animal,1.0,2020,"Historic Richmondtown, Staten Island, NY"
2020-12-30 15:30:00,Queens,Forest Park,Forest Park Visitor Center,domestic dove,Domestic,Unhealthy,Domestic;#Birds,ACC,1.0,2020,"Forest Park, Queens, NY"
2020-12-30 08:00:00,Manhattan,Union Square Park,16th Union Square west,red-tailed hawk,Native,Injured,Raptors,Rehabilitator,1.0,2020,"Union Square Park, Manhattan, NY"
2020-12-29 08:00:00,Manhattan,Union Square Park,16th street,red-tailed hawk,Native,Injured,Raptors,Advised/Educated others,0.0,2020,"Union Square Park, Manhattan, NY"
