,Date and Time of initial call,Borough,Property,Location,Species Description,Species Status,Animal Condition,Animal Class,Final Ranger Action,# of Animals,Year,full_address
3112,2018-10-26 16:50:00,Staten Island,Willowbrook Park,Victory Blvd and Morani Street,white-tailed deer,Native,Injured,Deer,ACC,1.0,2018,"Willowbrook Park, Staten Island, NY"
3113,2018-10-26 16:00:00,Staten Island,Industrial Park,South Ave and Lois Ln,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2018,"Industrial Park, Staten Island, NY"
3131,2018-10-22 11:50:00,Staten Island,LaTourette Park & Golf Course,"On golf course by the beginning of course along Richmond Hill Road 40.576893,-74.1248599",white-tailed deer,Native,Injured,Deer,ACC,1.0,2018,"LaTourette Park & Golf Course, Staten Island, NY"
3140,2018-10-19 09:30:00,Staten Island,Westerleigh Park,Park and surrounding neighborhood,white-tailed deer,Native,,Deer,Unfounded,0.0,2018,"Westerleigh Park, Staten Island, NY"
3186,2018-09-30 18:51:00,Staten Island,Wegener Park,Annadale Road and Genesee Avenue,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2018,"Wegener Park, Staten Island, NY"
3188,2018-10-01 09:00:00,Queens,Forest Park,Forest Park Drive towards Park Lane South.,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2018,"Forest Park, Queens, NY"
3240,2018-09-06 10:05:00,Bronx,Pelham Bay Park,Orchard Beach/ City Island Traffic Circle,white-tailed deer,Native,Unhealthy,Deer,ACC,1.0,2018,"Pelham Bay Park, Bronx, NY"
3264,2018-08-16 17:00:00,Manhattan,Inwood Hill Park,Bolton Rd,white-tailed deer,Native,Healthy,Deer,Unfounded,0.0,2018,"Inwood Hill Park, Manhattan, NY"
3284,2018-08-26 11:50:00,Manhattan,Inwood Hill Park,Blue Trail and Payson Ave,white-tailed deer,Native,,Deer,Unfounded,0.0,2018,"Inwood Hill Park, Manhattan, NY"
3341,2018-08-16 09:30:00,Manhattan,Inwood Hill Park,Bolton Rd,white-tailed deer,Native,Healthy,Deer,Unfounded,0.0,2018,"Inwood Hill Park, Manhattan, NY"
3893,2022-08-20 12:00:00,Staten Island,Lemon Creek Park,Behind 60 Oswald Place,white-tailed deer,Native,Injured,Deer,Relocated/Condition Corrected,1.0,2022,"Lemon Creek Park, Staten Island, NY"
